id,timestamp,Hum,Temp,N,P,K,pH,EC,OC_est,ai_label,recommendation
6,2026-05-13 12:26:16.378126,96.7,32.6,40,138,131,5.4,376,0.617524,,
7,2026-05-13 12:27:18.586023,97.2,32.5,39,137,130,5.5,374,0.61387,,
8,2026-05-13 12:28:20.652853,96.7,32.5,39,137,130,5.6,374,0.610557,,
9,2026-05-13 12:29:22.916488,96.7,32.5,39,136,129,5.6,372,0.610557,,
10,2026-05-13 12:30:24.841741,97.2,32.4,38,136,129,5.7,371,0.606902,,
11,2026-05-13 19:31:26.881682,97.2,32.4,38,135,128,5.7,370,0.606902,,
12,2026-05-13 19:32:28.854293,97.2,32.4,38,135,128,5.7,369,0.606902,,
13,2026-05-13 19:33:30.968369,97.2,32.3,38,134,127,5.8,368,0.603589,,
14,2026-05-13 19:34:32.861509,96.3,32.3,38,134,127,5.8,367,0.603589,,
15,2026-05-13 19:35:34.973554,96.7,32.3,38,134,127,5.9,367,0.600275,,
16,2026-05-13 19:36:37.043642,96.7,32.3,37,133,126,5.9,366,0.599935,,
17,2026-05-13 19:37:39.101403,96.7,32.2,37,133,126,5.9,365,0.599935,,
18,2026-05-13 19:38:41.205954,96.7,32.2,37,133,126,5.9,365,0.599935,,
19,2026-05-13 19:39:43.369966,96.7,32.2,37,132,125,6,364,0.596621,,
20,2026-05-13 19:40:45.402925,96.7,32.2,37,132,125,6,363,0.596621,,
21,2026-05-13 19:41:47.77756,96.7,32.1,37,131,124,6,362,0.596621,,
22,2026-05-13 19:42:49.795986,96.7,32.1,37,131,124,6,362,0.596621,,
23,2026-05-13 19:43:51.965409,96.7,32.1,37,131,124,6.1,362,0.593308,,
24,2026-05-13 19:44:53.94556,97.2,32.1,37,131,124,6.1,362,0.593308,,
25,2026-05-13 19:45:56.079195,96.3,32.1,36,131,124,6.1,361,0.592967,,
26,2026-05-13 19:46:58.165277,97.2,32.1,36,130,123,6.1,360,0.592967,,
27,2026-05-13 19:48:00.433497,96.7,32.1,36,130,123,6.1,360,0.592967,,
28,2026-05-13 19:49:02.378948,96.7,32.1,36,130,123,6.1,360,0.592967,,
29,2026-05-13 19:50:04.496354,96.7,32,36,130,123,6.2,359,0.589653,,
30,2026-05-13 19:51:06.391345,96.7,32,36,129,122,6.2,358,0.589653,,
31,2026-05-13 19:52:08.807403,96.7,32,36,129,122,5.8,358,0.602908,,
32,2026-05-13 19:53:10.78178,96.3,32,36,129,122,5.9,358,0.599594,,
33,2026-05-13 19:54:13.074901,96.3,32,36,129,122,6,358,0.596281,,
34,2026-05-13 19:55:15.023015,97.2,32,36,129,122,6.1,357,0.592967,,
35,2026-05-13 19:56:17.134148,96.7,32,36,129,122,6.1,357,0.592967,,
36,2026-05-13 19:57:19.194488,96.7,32,35,128,121,6.2,355,0.589313,,
37,2026-05-13 19:58:21.66424,96.3,32,35,128,121,6.2,355,0.589313,,
38,2026-05-13 19:59:23.674074,96.3,32,35,128,121,6.2,355,0.589313,,
39,2026-05-13 20:00:26.007137,96.7,32,35,127,120,6.2,354,0.589313,,
40,2026-05-13 20:01:28.10765,96.3,31.9,35,127,120,6.3,354,0.585999,,
41,2026-05-13 20:02:30.339057,96.7,31.9,35,127,120,6.3,354,0.585999,,
42,2026-05-13 20:03:32.306674,96.7,31.9,35,127,120,6.3,353,0.585999,,
43,2026-05-13 20:04:34.436775,96.7,31.9,35,127,120,6.3,353,0.585999,,
44,2026-05-13 20:05:36.623632,96.3,31.9,35,127,119,6.3,352,0.585999,,
45,2026-05-13 20:06:38.570613,96.3,31.9,35,127,119,6.3,352,0.585999,,
46,2026-05-13 20:07:40.569665,96.3,31.9,34,126,119,6.3,351,0.585659,,
47,2026-05-13 20:08:42.838446,96.3,31.9,34,126,119,6.3,351,0.585659,,
48,2026-05-13 20:09:44.739126,96.3,31.8,34,126,119,6.4,351,0.582345,,
49,2026-05-13 20:10:46.97916,96.3,31.9,34,126,119,6.4,351,0.582345,,
50,2026-05-13 20:11:48.985912,96.7,31.8,34,126,119,6.4,351,0.582345,,
51,2026-05-13 20:12:54.08991,96.7,31.8,34,126,118,6.4,350,0.582345,,
52,2026-05-13 20:13:56.688848,96.3,31.8,34,126,118,6.4,350,0.582345,,
53,2026-05-13 20:14:59.185344,96.7,31.8,34,126,118,6.4,350,0.582345,,
54,2026-05-13 20:16:01.196377,96.3,31.8,34,125,118,6.4,349,0.582345,,
55,2026-05-13 20:17:03.279295,96.3,31.8,34,125,118,6.4,349,0.582345,,
56,2026-05-13 20:18:05.419534,96.3,31.8,34,125,118,6.4,349,0.582345,,
57,2026-05-13 20:19:07.631515,96.3,31.8,34,125,118,6.4,349,0.582345,,
58,2026-05-13 20:20:09.729361,96.3,31.7,34,125,117,6.4,348,0.582345,,
59,2026-05-14 08:26:37.297477,91.8,29.8,15,81,73,7.2,257,0.549367,,
60,2026-05-14 08:27:39.969449,92.4,29.6,16,85,77,6.1,265,0.586157,,
61,2026-05-14 08:28:41.827761,92.4,29.6,17,86,79,5.8,268,0.596438,,
62,2026-05-14 09:07:08.330195,92.1,29.5,36,130,123,6.3,360,0.58634,,
63,2026-05-14 09:08:10.593396,92.1,29.5,36,130,123,6.3,360,0.58634,,
64,2026-05-14 15:37:11.240952,4.2,33.4,0,0,0,3,0,0.68343,,
65,2026-05-14 15:38:26.363021,6.9,33.3,0,0,0,9,0,0.484614,,
66,2026-05-14 15:53:20,87,32.8,6,61,53,6.5,216,0.569497,,
67,2026-05-14 15:54:22,87,32.8,8,64,57,5.8,223,0.593373,,
68,2026-05-14 15:55:31,86.5,32.8,8,65,57,5.4,224,0.606628,,
69,2026-05-14 16:00:32.454059,87.5,32.6,11,73,65,5.4,241,0.607649,,
